Month,Stream Flow (cm),Surface Runoff (cm),Subsurface Flow (cm),Point Src Flow (cm),ET (cm),Precip (cm),WS_Name
Oct,0.07,0.06,0,0,2.38,2.99,Big_Dry_Creek
Nov,0.13,0.13,0,0,1.76,3.12,Big_Dry_Creek
Dec,0.23,0.23,0,0,0.65,3.18,Big_Dry_Creek
Total,1.61,1.5,0.09,0,34.7,36.01,Big_Dry_Creek
Jan,0.07,0.06,0.01,0,0.66,2.29,Goshen_Valley
Feb,0.12,0.11,0.01,0,1.52,2.7,Goshen_Valley
Mar,0.08,0.03,0.05,0,3.75,4.15,Goshen_Valley
Apr,0.1,0,0.09,0,7.16,4.09,Goshen_Valley
May,0.08,0,0.08,0,6.58,3.36,Goshen_Valley
Jun,0.05,0,0.05,0,1.76,1.72,Goshen_Valley
Jul,0.04,0,0.04,0,2.45,2.45,Goshen_Valley
Aug,0.03,0,0.03,0,2.94,2.96,Goshen_Valley
Sep,0.03,0.01,0.02,0,2.47,2.86,Goshen_Valley
Oct,0.02,0,0.02,0,2.76,3.04,Goshen_Valley
Nov,0.04,0.02,0.01,0,1.83,2.91,Goshen_Valley
Dec,0.05,0.04,0.01,0,0.87,2.67,Goshen_Valley
Total,0.71,0.27,0.42,0,34.75,35.2,Goshen_Valley
Jan,0.26,0.22,0.04,0,0.5,2.73,Lake_Mountain____Gravel_Pit
Feb,0.25,0.14,0.11,0,1.21,2.74,Lake_Mountain____Gravel_Pit
Mar,0.41,0.11,0.3,0,3.2,4.03,Lake_Mountain____Gravel_Pit
Apr,0.38,0.01,0.37,0,6.82,4.21,Lake_Mountain____Gravel_Pit
May,0.31,0,0.31,0,8.31,4.01,Lake_Mountain____Gravel_Pit
Jun,0.22,0,0.22,0,2.7,2.47,Lake_Mountain____Gravel_Pit
Jul,0.17,0,0.17,0,1.87,1.89,Lake_Mountain____Gravel_Pit
Aug,0.13,0,0.12,0,1.94,1.94,Lake_Mountain____Gravel_Pit
Sep,0.1,0.02,0.09,0,2.34,2.7,Lake_Mountain____Gravel_Pit
Oct,0.09,0.02,0.07,0,2.41,2.99,Lake_Mountain____Gravel_Pit
Nov,0.1,0.05,0.05,0,1.78,3.12,Lake_Mountain____Gravel_Pit
Dec,0.13,0.09,0.04,0,0.65,3.18,Lake_Mountain____Gravel_Pit
Total,2.55,0.66,1.89,0,33.73,36.01,Lake_Mountain____Gravel_Pit
Jan,0.17,0.12,0.05,0,0.7,2.29,Lake_Mountain___Chaparral_Canyon
Feb,0.3,0.18,0.12,0,1.62,2.7,Lake_Mountain___Chaparral_Canyon
Mar,0.28,0.07,0.21,0,4,4.15,Lake_Mountain___Chaparral_Canyon
Apr,0.23,0.01,0.22,0,7.12,4.09,Lake_Mountain___Chaparral_Canyon
May,0.18,0.01,0.17,0,5.09,3.36,Lake_Mountain___Chaparral_Canyon
Jun,0.12,0,0.12,0,1.76,1.72,Lake_Mountain___Chaparral_Canyon
Jul,0.1,0,0.09,0,2.45,2.45,Lake_Mountain___Chaparral_Canyon
Aug,0.08,0.01,0.07,0,2.94,2.96,Lake_Mountain___Chaparral_Canyon
Sep,0.08,0.03,0.05,0,2.47,2.86,Lake_Mountain___Chaparral_Canyon
Oct,0.05,0.01,0.04,0,2.78,3.04,Lake_Mountain___Chaparral_Canyon
Nov,0.08,0.05,0.03,0,1.87,2.91,Lake_Mountain___Chaparral_Canyon
Dec,0.1,0.08,0.02,0,0.89,2.67,Lake_Mountain___Chaparral_Canyon
Total,1.77,0.57,1.19,0,33.69,35.2,Lake_Mountain___Chaparral_Canyon
Jan,0.2,0.09,0.12,0,0.75,2.29,Lake_Mountain___Clyde_Knoll
Feb,0.36,0.14,0.22,0,1.71,2.7,Lake_Mountain___Clyde_Knoll
Mar,0.41,0.05,0.36,0,4.24,4.15,Lake_Mountain___Clyde_Knoll
Apr,0.34,0,0.34,0,6.78,4.09,Lake_Mountain___Clyde_Knoll
May,0.27,0,0.26,0,4.36,3.36,Lake_Mountain___Clyde_Knoll
Jun,0.19,0,0.19,0,1.76,1.72,Lake_Mountain___Clyde_Knoll
Jul,0.14,0,0.14,0,2.45,2.45,Lake_Mountain___Clyde_Knoll
Aug,0.11,0,0.1,0,2.94,2.96,Lake_Mountain___Clyde_Knoll
Sep,0.09,0.02,0.07,0,2.49,2.86,Lake_Mountain___Clyde_Knoll
Oct,0.06,0,0.06,0,2.82,3.04,Lake_Mountain___Clyde_Knoll
Nov,0.08,0.03,0.04,0,1.91,2.91,Lake_Mountain___Clyde_Knoll
Dec,0.09,0.06,0.03,0,0.93,2.67,Lake_Mountain___Clyde_Knoll
Total,2.34,0.39,1.93,0,33.14,35.2,Lake_Mountain___Clyde_Knoll
Jan,0.32,0.21,0.12,0,0.49,2.73,Lake_Mountain___Israel_Canyon
Feb,0.4,0.14,0.26,0,1.19,2.74,Lake_Mountain___Israel_Canyon
Mar,0.64,0.12,0.52,0,3.17,4.03,Lake_Mountain___Israel_Canyon
Apr,0.58,0.01,0.57,0,6.68,4.21,Lake_Mountain___Israel_Canyon
May,0.49,0,0.48,0,7.42,4.01,Lake_Mountain___Israel_Canyon
Jun,0.35,0,0.35,0,2.61,2.47,Lake_Mountain___Israel_Canyon
Jul,0.27,0,0.26,0,1.87,1.89,Lake_Mountain___Israel_Canyon
Aug,0.2,0,0.19,0,1.94,1.94,Lake_Mountain___Israel_Canyon
Sep,0.15,0.01,0.14,0,2.32,2.7,Lake_Mountain___Israel_Canyon
