SystemName,UTAH LAKE/JORDAN RIVER
StationName,05 JORDAN NARROWS (TOTAL)
DateStart,2010
DateEnd,2019
Date,Flow
3/5/2013,24.267
3/6/2013,23.41
3/7/2013,25.614
3/8/2013,50.361
3/9/2013,60.177
3/10/2013,62.134
3/11/2013,59
3/12/2013,57.628
3/13/2013,56
3/14/2013,38.553
3/15/2013,21.891
3/16/2013,20.719
3/17/2013,20.725
3/18/2013,21.759
3/19/2013,21.145
3/20/2013,20.579
3/21/2013,19.529
3/22/2013,19
3/23/2013,18.72
3/24/2013,19.012
3/25/2013,27.461
3/26/2013,19.514
3/27/2013,19.417
3/28/2013,19.44
3/29/2013,25.299
3/30/2013,25.478
3/31/2013,19.402
4/1/2013,18.115
4/2/2013,32.505
4/3/2013,26.543
4/4/2013,23.847
4/5/2013,21.921
4/6/2013,22.635
4/7/2013,20.754
4/8/2013,36.607
4/9/2013,68.269
4/10/2013,50.476
4/11/2013,53.99
4/12/2013,53.904
4/13/2013,53.184
4/14/2013,53.5
4/15/2013,54.025
4/16/2013,104.343
4/17/2013,106.809
4/18/2013,107.22
4/19/2013,106.74
4/20/2013,108.542
4/21/2013,131.054
4/22/2013,170.049
4/23/2013,173.867
4/24/2013,178.808
4/25/2013,218.385
4/26/2013,243.77
4/27/2013,244.716
4/28/2013,270.591
4/29/2013,295.414
4/30/2013,310.525
5/1/2013,324.447
5/2/2013,349.477
5/3/2013,358.813
5/4/2013,370.219
5/5/2013,387.078
5/6/2013,418.02
5/7/2013,450.032
5/8/2013,443.512
5/9/2013,446.845
5/10/2013,456.267
5/11/2013,452.193
5/12/2013,451.706
5/13/2013,449.207
5/14/2013,455.356
5/15/2013,456.324
5/16/2013,455.432
5/17/2013,451.021
5/18/2013,438.264
5/19/2013,420.761
5/20/2013,415.895
5/21/2013,410.137
5/22/2013,416.07
5/23/2013,408.268
5/24/2013,430.509
5/25/2013,453.574
5/26/2013,457.602
5/27/2013,450.108
5/28/2013,440.02
5/29/2013,402.738
5/30/2013,398.859
5/31/2013,392.872
6/1/2013,411.434
6/2/2013,437.46
6/3/2013,464.346
6/4/2013,502.313
6/5/2013,506.643
6/6/2013,505.708
6/7/2013,502.036
6/8/2013,503.654
6/9/2013,506.509
6/10/2013,513.065
6/11/2013,516.93
6/12/2013,517.725
6/13/2013,527.181
