"WS_Name","Month","Flow.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd","Flow.acftmo","load.TN.tonmo","load.TDN.tonmo","load.TP.tonmo","load.TDP.tonmo","load.TOC.tonmo","load.DOC.tonmo","WS_Type"
"Mill Race",6,29.74439022,709.265152357602,616.17026059776,83.5353739551346,75.5233487690186,230.427402725376,270.320341630464,1769.91819196646,21.2779545707281,18.4851078179328,2.50606121865404,2.26570046307056,6.91282208176128,8.10961024891392,"WWTP"
"Mill Race",7,29.24014395,502.594583644864,499.532838103296,69.3768164041745,57.4777209720045,232.86437145216,408.592000940544,1797.91049923622,15.5804320929908,15.4855179812022,2.15068130852941,1.78180935013214,7.21879551501696,12.6663520291569,"WWTP"
"Mill Race",8,24.97003814,522.814505290348,498.428272226304,59.6715553989411,47.5418743608817,182.706474749184,283.46956259328,1535.35132436429,16.2072496640008,15.4512764390154,1.84981821736717,1.47379810518733,5.6639007172247,8.78755644039168,"WWTP"
"Mill Race",9,19.43630905,587.301901414019,457.66056167424,63.4996078169449,53.9657854052733,131.214205706342,211.496199289344,1156.54335885987,17.6190570424206,13.7298168502272,1.90498823450835,1.6189735621582,3.93642617119027,6.34488597868032,"WWTP"
"Mill Race",10,16.41955511,554.124416771064,525.133252786176,52.6728098547395,44.4317500236285,123.581824105882,184.166829211853,1009.60140878707,17.177856919903,16.2791308363715,1.63285710549692,1.37738425073248,3.83103654728233,5.70917170556744,"WWTP"
"Mill Race",11,21.5808095666667,866.071453041732,671.45788380672,63.2613880164029,64.90491147466,151.003087409664,161.83035705047,1284.15029411913,25.982143591252,20.1437365142016,1.89784164049209,1.9471473442398,4.53009262228992,4.85491071151411,"WWTP"
"Mill Race",12,28.7255273,814.341947210641,820.9939661568,84.4360084419265,83.8611680535042,225.442513253376,280.15038056448,1766.26788216502,25.2446003635299,25.4508129508608,2.61751626169972,2.59969620965863,6.98871791085466,8.68466179749888,"WWTP"
"Spring Creek - Springville",1,15.6032754,232.706220991488,223.167609501696,45.1325474718491,41.2383666880523,154.323533500416,134.101641259008,959.410210568895,7.21389285073613,6.91819589455258,1.39910897162732,1.27838936732962,4.7840295385129,4.15715087902925,"WWTP"
"Spring Creek - Springville",2,15.2607847333333,271.513473846649,221.140543444992,54.3412884442779,31.3178181490804,102.374257130496,107.725316806656,847.543048236566,7.60237726770618,6.19193521645978,1.52155607643978,0.876898908174251,2.86647919965389,3.01630887058637,"WWTP"
"Spring Creek - Springville",3,17.29738275,167.44580140032,171.34074326016,39.0090598271248,38.1545080319496,129.03707510784,131.15825261568,1063.57705039727,5.19081984340992,5.31156304106496,1.20928085464087,1.18278974899044,4.00014932834304,4.06590583108608,"WWTP"
"Spring Creek - Springville",4,13.3810325857143,182.54848739328,185.009249028096,29.7485659138148,28.1253767993213,90.130226853888,128.697980295168,796.228560262338,5.4764546217984,5.55027747084288,0.892456977414445,0.843761303979638,2.70390680561664,3.86093940885504,"WWTP"
"Spring Creek - Springville",5,15.35091345,233.793506698767,170.577249841152,44.0531391651708,42.5554155860204,89.544436079616,96.29664726528,943.893043475306,7.24759870766177,5.28789474507571,1.36564731412029,1.31921788316663,2.7758775184681,2.98519606522368,"WWTP"
"Spring Creek - Springville",6,15.3550980666667,156.332150527669,101.49887384064,40.3795013878102,38.6706894051347,73.996718727168,73.011321271296,913.693883337657,4.68996451583007,3.0449662152192,1.21138504163431,1.16012068215404,2.21990156181504,2.19033963813888,"WWTP"
"Spring Creek - Springville",7,8.07753178333333,60.0196502375804,67.488349169664,24.1656423194519,22.4002182865408,35.603568940032,56.447624318976,496.669210179087,1.86060915736499,2.09213882425958,0.74913491190301,0.694406766882766,1.10371063714099,1.74987635388826,"WWTP"
"Spring Creek - Springville",8,9.6137447,59.7726903645145,60.64887693312,34.487661568104,32.9083096915092,28.539501437952,39.86810620416,591.127477438653,1.85295340129995,1.88011518492672,1.06911750861122,1.02015760043678,0.884724544576512,1.23591129232896,"WWTP"
"Spring Creek - Springville",9,10.8233097142857,98.386916419584,102.130660159488,37.9340878700713,35.7402664670709,55.713999460608,97.20503888256,644.033130916934,2.95160749258752,3.06391980478464,1.13802263610214,1.07220799401213,1.67141998381824,2.9161511664768,"WWTP"
"Spring Creek - Springville",10,10.0887902333333,146.71803972096,151.291415863296,24.4366744048653,22.4345961346482,64.114771700736,76.463433686016,620.336955800174,4.54825923134976,4.69003389176218,0.757536906550823,0.695472480174095,1.98755792272282,2.3703664442665,"WWTP"
"Spring Creek - Springville",11,8.26785716666667,72.38304170496,72.078688207872,18.4822040449911,25.4379004585272,50.118262244352,50.666294264832,491.972795529834,2.1714912511488,2.16236064623616,0.554466121349732,0.763137013755816,1.50354786733056,1.51998882794496,"WWTP"
"Spring Creek - Springville",12,12.1170545666667,139.203639954432,136.298254722048,30.5853552298333,28.5428555035237,61.621226007552,75.722285620224,745.050354830016,4.31531283858739,4.22524589638349,0.948146012124831,0.884828520609236,1.91025800623411,2.34739085422694,"WWTP"
"Hobble Creek",1,24.8796388,84.8620740646622,71.906204915712,0.818459725824,0.4409782060032,73.962140516352,95.98226282496,1529.79287284682,2.63072429600453,2.22909235238707,0.025372251500544,0.0136703243860992,2.29282635600691,2.97545014757376,"No WWTP"
"Hobble Creek",2,28.02256015,95.4289663077663,63.06201197568,0.4750589472768,0.3268293341184,54.695308243968,115.093411596288,1556.29782242108,2.67201105661746,1.76573633531904,0.0133016505237504,0.0091512213553152,1.5314686308311,3.22261552469606,"No WWTP"
"Hobble Creek",3,51.7586273125,51.47097163776,58.58070847488,0.509865504768,0.280377096192,73.44118388736,131.3074934784,3182.52124990645,1.59560012077056,1.81600196272128,0.015805830647808,0.008691689981952,2.27667670050816,4.0705322978304,"No WWTP"
"Hobble Creek",4,64.4663515909091,113.0652445824,123.256377084672,5.7314179563264,1.8544828628736,500.5868822784,597.87235219968,3836.02311583903,3.391957337472,3.69769131254016,0.171942538689792,0.055634485886208,15.017606468352,17.9361705659904,"No WWTP"
"Hobble Creek",5,157.3815655,273.82879858729,311.234234830848,23.801409868032,7.9378340159232,1742.08675560192,2130.83473727232,9677.03748252866,8.48869275620598,9.64826127975629,0.737843705908992,0.246072854493619,54.0046894236595,66.0558768554419,"No WWTP"
"Hobble Creek",6,65.4747097454545,68.575891671536,92.805980961024,5.696168977152,2.8417172861952,383.97043913472,472.06719806976,3896.02473054847,2.05727675014608,2.78417942883072,0.17088506931456,0.085251518585856,11.5191131740416,14.1620159420928,"No WWTP"
"Hobble Creek",7,19.79259052,29.7036780300288,41.278004206848,1.685320791552,1.3024568143872,199.33013309184,270.27764895744,1217.00174813918,0.920814018930893,1.27961813041229,0.052244944538112,0.0403761612460032,6.17923412584704,8.37860711768064,"No WWTP"
"Hobble Creek",8,17.858933,75.1226425910126,36.775089324288,1.66795013376,1.388490501888,185.2146387072,243.03079358208,1098.10550867197,2.32880192032139,1.14002776905293,0.05170645414656,0.043043205558528,5.7416537999232,7.53395460104448,"No WWTP"
"Hobble Creek",9,27.6351666555556,43.2274377079373,50.885262415872,2.392563453696,1.9381617252864,163.51844246784,299.66036126976,1644.41038595589,1.29682313123812,1.52655787247616,0.07177690361088,0.058144851758592,4.9055532740352,8.9898108380928,"No WWTP"
"Hobble Creek",10,13.2575262666667,65.6126251606209,55.0410658864128,0.6642686333952,0.7070265483264,47.995045926912,100.71148557312,815.175387286013,2.03399137997925,1.7062730424788,0.0205923276352512,0.0219178229981184,1.48784642373427,3.12205605276672,"No WWTP"
"Hobble Creek",11,25.4392835,197.946568209761,287.465384752128,29.2459326538752,26.9762156338176,174.97308644352,195.44599692288,1513.74596433876,5.93839704629283,8.62396154256384,0.877377979616256,0.809286469014528,5.2491925933056,5.8633799076864,"No WWTP"
"Hobble Creek",12,23.3160509222222,93.0421308089047,74.38719154176,0.702859221504,0.2479029368832,64.077012946944,157.92863818752,1433.65138097379,2.88430605507604,2.30600293779456,0.021788635866624,0.0076849910433792,1.98638740135526,4.89578778381312,"No WWTP"
"Dry Creek - Spanish Fork",1,27.6375,456.36326712576,462.40721624448,45.912147069312,13.2401661426432,314.52725893248,363.4106753664,1586.90446947766,13.233092492736,13.3982596185869,1.33602129848794,0.410445150421939,9.13303833383808,10.488895547328,"WWTP"
"Dry Creek - Spanish Fork",2,37.8,609.44585877504,624.242723328,58.170173773824,13.2401661426432,411.5377953792,517.8902593536,2099.31060447797,17.0644840457011,17.478796253184,1.62876486566707,0.410445150421939,11.5230582706176,14.5009272619008,"WWTP"
"Dry Creek - Spanish Fork",3,4.54,32.322634979328,36.765608859648,0.8219501678592,1.4772888152064,54.093206992896,41.986103169024,279.154359858494,1.00200168435917,1.13973387464909,0.0254804552036352,0.0457959532713984,1.67688941677978,1.30156919823974,"WWTP"
"Dry Creek - Spanish Fork",4,32.7,498.93177664512,516.63516816384,65.983544580096,58.892891000832,435.77842599936,599.95805442048,1945.7895908852,14.9679532993536,15.4990550449152,1.97950633740288,1.76678673002496,13.0733527799808,17.9987416326144,"WWTP"
"Dry Creek - Spanish Fork",5,22.8223582333333,274.38177268224,283.912147381248,54.0716304731491,42.3525985065547,241.791238121472,247.860203433984,1403.29533107652,8.50583495314944,8.80127656881869,1.67622054466762,1.3129305537032,7.49552838176563,7.6836663064535,"WWTP"
"Dry Creek - Spanish Fork",6,15.888672375,183.689316212664,236.894017462272,25.1414287445016,22.1862342318759,222.904521510912,272.082484767744,945.443832423858,5.51067948637991,7.10682052386816,0.754242862335048,0.665587026956277,6.68713564532736,8.16247454303232,"WWTP"
"Dry Creek - Spanish Fork",7,9.53333333333333,61.48315782144,64.5976433664,5.345432561664,5.206385746944,82.29532621824,117.58059620352,586.183163873195,1.90597789246464,2.0025269443584,0.165708409411584,0.161397958155264,2.55115511276544,3.64499848230912,"WWTP"
"Dry Creek - Spanish Fork",8,34.5475,217.902302157312,252.203540689152,18.4308612109056,12.165056986752,267.316869268224,519.03647811072,2124.24785180866,6.75497136687667,7.81830976136371,0.571356697538074,0.377116766589312,8.28682294731494,16.0901308214323,"WWTP"
"Dry Creek - Spanish Fork",9,19.4225,210.972021341184,229.860960254208,33.4542293551872,27.8466262670592,198.133270304256,268.482721761792,1155.72166143632,6.32916064023552,6.89582880762624,1.00362688065562,0.835398788011776,5.94399810912768,8.05448165285376,"WWTP"
"Dry Creek - Spanish Fork",10,26.25,455.225325935616,444.166985769984,41.1597817933824,29.9763647364096,244.191324782592,280.877256963072,1614.05329213336,14.1119851040041,13.7691765588695,1.27595323559485,0.929267306828698,7.56993106826035,8.70719496585523,"WWTP"
"Dry Creek - Spanish Fork",11,16.385,236.711054688768,250.201939364352,96.902214492672,52.922033206272,135.45871370496,149.1582909312,974.977444851802,7.10133164066304,7.50605818093056,2.90706643478016,1.58766099618816,4.0637614111488,4.474748727936,"WWTP"
"Dry Creek - Spanish Fork",12,17.475,303.28067547648,300.57170916096,33.6541203648,25.00304347008,217.51672248576,208.9310913792,1074.49833447735,9.40170093977088,9.31772298398976,1.0432777313088,0.77509434757248,6.74301839705856,6.4768638327552,"WWTP"
"Spanish Fork River",1,98.4770694333333,137.028799786603,96.825025161216,9.04416611122511,4.66408873541645,402.15764017152,469.51175411712,6055.13288070542,4.24789279338469,3.0015757799977,0.280369149447978,0.14458675079791,12.4668868453171,14.5548643776307,"No WWTP"
"Spanish Fork River",2,101.291756833333,141.018215096378,94.371113926656,5.45414256723631,3.22700211652018,332.82669643776,388.1975030784,5625.47246736563,3.9485100226986,2.64239118994637,0.152715991882617,0.0903560592625651,9.31914750025728,10.8695300861952,"No WWTP"
"Spanish Fork River",3,141.315075266667,93.2467675189248,95.6500347230208,10.3333718710031,9.4320588734326,473.443639206912,499.879578451968,8689.14523665665,2.89064979308667,2.96515107641365,0.320334528001097,0.29239382507641,14.6767528154143,15.496266932011,"No WWTP"
"Spanish Fork River",4,143.930347914286,196.484091490483,222.479984265523,130.507424328744,22.8465759614009,627.197203095552,636.690512236032,8564.47011572177,5.8945227447145,6.6743995279657,3.91522272986232,0.685397278842028,18.8159160928666,19.100715367081,"No WWTP"
"Spanish Fork River",5,249.0130522,232.811354247322,351.948805849498,108.194472117485,25.543909394012,1620.7343616384,2856.02300151552,15311.2509214319,7.21715198166697,10.9104129813344,3.35402863564203,0.791861191214373,50.2427652107904,88.5367130469811,"No WWTP"
"Spanish Fork River",6,172.849923266667,218.067731168256,270.4450352256,39.8785119792749,20.0160188836775,1454.33345015808,1726.32369917952,10285.3083020668,6.54203193504768,8.113351056768,1.19635535937825,0.600480566510325,43.6300035047424,51.7897109753856,"No WWTP"
"Spanish Fork River",7,148.643333333333,213.411538579968,204.80270582016,31.9703531461632,5.7463930128384,1943.48905321882,2000.9249293271,9139.74329601308,6.61575769597901,6.34888388042496,0.991080947531059,0.17813818339799,60.2481606497833,62.0286728091402,"No WWTP"
"Spanish Fork River",8,91.7928675,112.310974738022,239.62052569559,13.3230343702814,5.50132561768712,1066.21505289216,2163.15594508493,5644.13638029472,3.48164021687869,7.4282362965633,0.413014065478724,0.170541094148301,33.052666639657,67.0578342976328,"No WWTP"
"Spanish Fork River",9,48.0216798,90.98371332864,122.050859550336,9.00579791922395,5.879141944704,518.96246932224,605.6197267392,2857.49494469914,2.7295113998592,3.66152578651008,0.270173937576718,0.17637425834112,15.5688740796672,18.168591802176,"No WWTP"
