"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-401654111400101","2004-05-26","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,5,2004,"Accepted",0.45,0.007,NA,0.444,0.44,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2004-08-24","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,8,2004,"Accepted",0.44,0.008,NA,0.442,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2006-08-28","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,8,2006,"Accepted",0.55,0.013,NA,0.549,0.6,NA,NA,0.008,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2008-08-08","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,8,2008,"Accepted",0.46,0.016,NA,0.46,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2010-08-24","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,8,2010,"Accepted",0.44,0.016,NA,0.437,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401654111400101","2011-09-22","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)24caa- 1   S25","Well",40.28173206,-111.6677288,9,2011,"Accepted",0.58,0.014,NA,0.582,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401658111521501","2003-11-13","USGS-UT","USGS Utah Water Science Center","(D- 6- 1)19adc- 1","Well",40.2828611,-111.8708056,11,2003,"Accepted",NA,NA,NA,NA,0.11,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401702111594001","2017-07-07","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)19acc- 1","Well",40.2855061,-111.9963261,7,2017,"Accepted",1.86,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594501","2001-07-18","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 1","Well",40.29411719,-111.9935483,7,2001,"Accepted",0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594501","2005-08-09","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 1","Well",40.29411719,-111.9935483,8,2005,"Accepted",0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594501","2009-07-22","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 1","Well",40.29411719,-111.9935483,7,2009,"Accepted",0.97,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594501","2014-06-18","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 1","Well",40.29411719,-111.9935483,6,2014,"Accepted",1.07,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594501","2016-08-03","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 1","Well",40.29411719,-111.9935483,8,2016,"Accepted",1.11,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401730111594502","2019-06-20","USGS-UT","USGS Utah Water Science Center","(C- 6- 1)18cdd- 2","Well",40.29161719,-111.9966039,6,2019,"Accepted",1.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401753111412101","2004-08-17","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)14bcd- 1","Well",40.298,-111.689,8,2004,"Accepted",1.21,0.011,NA,1.21,1.18,NA,0.02,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401758111451001","2004-04-23","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)17bcb- 1","Well",40.29952778,-111.7528889,4,2004,"Accepted",1.78,0.023,NA,1.78,1.81,NA,0.02,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401801111442501","2000-06-15","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)17aca- 1","Well",40.29973025,-111.7407621,6,2000,"Accepted",1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401801111442501","2007-08-23","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)17aca- 1","Well",40.29973025,-111.7407621,8,2007,"Accepted",0.95,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401801111442501","2009-07-30","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)17aca- 1","Well",40.29973025,-111.7407621,7,2009,"Accepted",1.26,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401801111442501","2011-08-09","USGS-UT","USGS Utah Water Science Center","(D- 6- 2)17aca- 1","Well",40.29973025,-111.7407621,8,2011,"Accepted",1.3,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401827111392401","2004-08-16","USGS-UT","USGS Utah Water Science Center","(D- 6- 3) 7ccb- 1","Well",40.30738889,-111.657611,8,2004,"Accepted",0.53,0.006,NA,0.527,0.52,NA,0.01,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401832111444501","2004-04-22","USGS-UT","USGS Utah Water Science Center","(D- 6- 2) 8cac- 5","Well",40.30963889,-111.7470278,4,2004,"Accepted",0.16,0.013,NA,0.162,0.17,NA,0.02,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401944111375301","2015-07-28","USGS-UT","USGS Utah Water Science Center","(D- 6- 3) 6add-S1","Spring",40.3272222,-111.6427778,7,2015,"Preliminary",0.574,0.01,0,0.574,0.68,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402038111444901","2004-07-21","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)32bdb- 2","Well",40.34380556,-111.7481944,7,2004,"Accepted",NA,0.006,NA,NA,0.08,NA,0.02,0.09,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA
"USGS-402038111445001","2004-07-21","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)32bdb- 3","Well",40.34388889,-111.7484167,7,2004,"Accepted",NA,0.053,NA,NA,1.14,NA,0.02,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402103111461601","2001-07-18","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)30ccb- 2","Well",40.35131256,-111.7719026,7,2001,"Accepted",2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402118111594501","2015-09-16","USGS-UT","USGS Utah Water Science Center","(C- 5- 1)30cab- 1","Well",40.35491667,-111.9959444,9,2015,"Preliminary",1.67,0.015,0,1.67,1.66,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402119111425501","2004-07-30","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)28daa- 1","Well",40.3556111,-111.7164167,7,2004,"Accepted",2.7,0.003,NA,2.7,2.66,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402129111480301","2004-08-16","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)26bda- 1","Well",40.35788889,-111.8017778,8,2004,"Accepted",1.48,0.003,NA,1.48,1.42,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402133111484601","2011-08-30","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)27aac- 1","Well",40.3594233,-111.813765,8,2011,"Preliminary",2.27,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402133111484601","2014-07-15","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)27aac- 1","Well",40.3594233,-111.813765,7,2014,"Accepted",2.33,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402133111484601","2017-06-26","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)27aac- 1","Well",40.3594233,-111.813765,6,2017,"Accepted",2.46,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
